1	7
1001	5
2001	6
3001	11
4001	13
5001	11
6001	10
7001	17
8001	24
9001	12
10001	17
11001	23
12001	21
13001	19
14001	18
15001	21
16001	29
17001	36
18001	21
19001	21
20001	30
21001	22
22001	32
23001	22
24001	30
25001	33
26001	25
27001	30
28001	29
29001	41
30001	45
31001	36
32001	43
33001	45
34001	35
35001	40
36001	42
37001	45
38001	41
39001	43
40001	42
41001	42
42001	55
43001	44
44001	52
45001	56
46001	46
47001	51
48001	54
49001	49
50001	48
51001	55
52001	60
53001	57
54001	54
55001	54
56001	63
57001	60
58001	59
59001	60
60001	62
61001	71
62001	61
63001	62
64001	55
65001	56
66001	61
67001	56
68001	73
69001	65
70001	72
71001	76
72001	72
73001	72
74001	75
75001	76
76001	76
77001	74
78001	82
79001	73
80001	74
81001	77
82001	80
83001	80
84001	90
85001	87
86001	93
87001	83
88001	93
89001	92
90001	92
91001	91
92001	93
93001	114
94001	160
95001	91
96001	87
97001	92
98001	105
99001	97
100001	94
101001	109
102001	94
103001	94
104001	128
105001	113
106001	90
107001	101
108001	108
109001	95
110001	103
111001	124
112001	105
113001	113
114001	98
115001	109
116001	125
117001	116
118001	118
119001	162
120001	125
121001	126
122001	130
123001	138
124001	127
125001	139
126001	127
127001	132
128001	133
