1	8
1001	7
2001	12
3001	9
4001	10
5001	14
6001	11
7001	23
8001	22
9001	23
10001	27
11001	24
12001	29
13001	29
14001	31
15001	31
16001	33
17001	24
18001	33
19001	31
20001	29
21001	37
22001	32
23001	29
24001	31
25001	35
26001	35
27001	49
28001	45
29001	39
30001	43
31001	37
32001	39
33001	47
34001	48
35001	47
36001	40
37001	48
38001	38
39001	58
40001	53
41001	58
42001	58
43001	57
44001	59
45001	56
46001	48
47001	51
48001	48
49001	63
50001	60
51001	64
52001	56
53001	68
54001	64
55001	71
56001	63
57001	65
58001	60
59001	62
60001	77
61001	77
62001	73
63001	78
64001	74
65001	72
66001	76
67001	73
68001	69
69001	80
70001	77
71001	88
72001	81
73001	86
74001	85
75001	85
76001	90
77001	91
78001	83
79001	76
80001	83
81001	88
82001	100
83001	91
84001	95
85001	88
86001	95
87001	98
88001	94
89001	93
90001	103
91001	102
92001	101
93001	98
94001	107
95001	98
96001	96
97001	97
98001	99
99001	109
100001	116
101001	98
102001	110
103001	107
104001	108
105001	109
106001	120
107001	100
108001	106
109001	104
110001	113
111001	124
112001	137
113001	115
114001	117
115001	113
116001	116
117001	122
118001	120
119001	127
120001	121
121001	126
122001	145
123001	125
124001	119
125001	133
126001	123
127001	129
128001	128
129001	9159
